,PupsID,Region,Metabolite,Age,ADC,SphereRadius,SphereFraction,MSE
0,10,Cerebellum,NAA+NAAG,5,0.6,6.263796320993355,0.4214916605466013,0.0050355407010389
1,11,Cerebellum,NAA+NAAG,5,0.6,6.972862548742421,0.5801881835424805,0.0044768931276828
2,12,Cerebellum,NAA+NAAG,5,0.6,5.645118152491084,0.4481538235839497,0.0014258643961804
3,13,Cerebellum,NAA+NAAG,5,0.6,8.596451945912795,0.9999999994657416,0.0087010628701624
4,14,Cerebellum,NAA+NAAG,5,0.6,6.427759310179355,0.4008066701369005,0.0274570532201983
5,15,Cerebellum,NAA+NAAG,5,0.6,6.300982675429318,0.6088744576912666,0.0055514746390135
6,17,Cerebellum,NAA+NAAG,5,0.6,9.203368619336866,2.220446049250313e-16,0.0252949526443559
7,18,Cerebellum,NAA+NAAG,5,0.6,19.999999996249795,0.1123720694108665,0.0094007604383299
8,1,Thalamus,NAA+NAAG,5,0.6,6.183750171258047,0.3760181268221926,0.0027710203742556
9,2,Thalamus,NAA+NAAG,5,0.6,5.216874718565651,0.4451530313285324,0.0034537112886618
10,4,Thalamus,NAA+NAAG,5,0.6,6.450019648689394,0.999999999752655,0.0322270273705442
11,5,Thalamus,NAA+NAAG,5,0.6,5.092864391239191,0.6945025493183989,0.028748238259771
12,6,Thalamus,NAA+NAAG,5,0.6,6.140396388459825,0.166682314020282,0.0048825872401149
13,7,Thalamus,NAA+NAAG,5,0.6,5.774224303396157,0.6825756939409409,0.0140026644954327
14,8,Thalamus,NAA+NAAG,5,0.6,5.491590352313904,0.4802384529468672,0.0046298819617677
15,9,Thalamus,NAA+NAAG,5,0.6,3.8434583990748967,0.2352846630362492,0.006492200215685
16,10,Cerebellum,Cr+PCr,5,0.6,6.1707194222739,0.8281455585783877,0.0016879995814873
17,11,Cerebellum,Cr+PCr,5,0.6,6.2169332128502095,0.7370746260789706,0.0040697623770851
18,12,Cerebellum,Cr+PCr,5,0.6,6.064940535678351,0.5682828690780495,0.0010803260454092
19,13,Cerebellum,Cr+PCr,5,0.6,9.183366913199135,0.9999999998976808,0.007341151097972
20,14,Cerebellum,Cr+PCr,5,0.6,6.967494185034177,0.6033193002260488,0.0020891821755842
21,15,Cerebellum,Cr+PCr,5,0.6,6.766966614334079,0.5422250853417306,0.0030540412941203
22,17,Cerebellum,Cr+PCr,5,0.6,19.99999999913928,0.0833972950241598,0.0146935137535476
23,18,Cerebellum,Cr+PCr,5,0.6,6.760037617756962,0.1113398985193847,0.006351807949996
24,1,Thalamus,Cr+PCr,5,0.6,6.323835895597267,0.4885053852473589,0.0020804147184129
25,2,Thalamus,Cr+PCr,5,0.6,6.175858923014771,0.4555246525769057,0.0027289501918015
26,4,Thalamus,Cr+PCr,5,0.6,7.461418883332892,0.5800779655388455,0.0035824590258928
27,5,Thalamus,Cr+PCr,5,0.6,7.227485216607237,0.2727630144138417,0.0060939200814279
28,6,Thalamus,Cr+PCr,5,0.6,6.998857569616552,0.3947696939935521,0.0010904930690222
29,7,Thalamus,Cr+PCr,5,0.6,7.018732906929288,0.4488610634137194,0.0074427417000691
30,8,Thalamus,Cr+PCr,5,0.6,6.165725629809126,0.3817673595043438,0.0016173506123833
31,9,Thalamus,Cr+PCr,5,0.6,6.198721256550126,0.3193977788279524,0.0016789014622929
32,10,Cerebellum,GPC+PCho+Cho,5,0.6,6.112611572724002,0.918455840112705,0.0038411101515247
33,11,Cerebellum,GPC+PCho+Cho,5,0.6,6.585950898594917,0.9999999998932416,0.0353590426957465
34,12,Cerebellum,GPC+PCho+Cho,5,0.6,5.811133111343129,0.7383472358054457,0.0012538785088002
35,13,Cerebellum,GPC+PCho+Cho,5,0.6,9.92920425999902,0.9999999996506488,0.0145448966254686
36,14,Cerebellum,GPC+PCho+Cho,5,0.6,6.167064980274416,0.617116163549852,0.006327523010313
37,15,Cerebellum,GPC+PCho+Cho,5,0.6,5.78643191136769,0.702268661858567,0.0087321185204459
38,16,Cerebellum,GPC+PCho+Cho,5,0.6,18.435045370859413,0.9355534417899064,0.0112526821578299
39,17,Cerebellum,GPC+PCho+Cho,5,0.6,13.780245925908524,1.1102230246251563e-16,0.0091271447833161
40,18,Cerebellum,GPC+PCho+Cho,5,0.6,4.62561460123264,0.3601602260275713,0.0050793424189473
41,1,Thalamus,GPC+PCho+Cho,5,0.6,0.0095549718498335,0.9999999999979848,50878092.19951804
42,2,Thalamus,GPC+PCho+Cho,5,0.6,5.298133895739086,0.6226360481042694,0.0044914270312765
43,4,Thalamus,GPC+PCho+Cho,5,0.6,0.0010185393706273,0.9999999999997056,38120035.69989052
44,5,Thalamus,GPC+PCho+Cho,5,0.6,0.0010185393706273,0.9999999999997056,132270446.7744868
45,6,Thalamus,GPC+PCho+Cho,5,0.6,5.216993262663543,0.4520298415986157,0.001480542545048
46,7,Thalamus,GPC+PCho+Cho,5,0.6,5.624082393564171,0.5899569735082775,0.0072394074763374
47,8,Thalamus,GPC+PCho+Cho,5,0.6,5.162148743159052,0.2495413502380233,0.009885624211834
48,9,Thalamus,GPC+PCho+Cho,5,0.6,4.170948621931327,0.4018908779772835,0.0068652090732013
49,10,Cerebellum,Glu,5,0.6,6.055486680590393,0.3118546112143448,0.00152579638099
50,11,Cerebellum,Glu,5,0.6,6.115612432393665,0.6299489577098435,0.0051227986273348
51,12,Cerebellum,Glu,5,0.6,5.823153961987631,0.5425667678539015,0.0025014489204427
52,13,Cerebellum,Glu,5,0.6,8.663835727790222,0.9999999999725284,0.0120442116674625
53,14,Cerebellum,Glu,5,0.6,6.611765157767399,0.4283065126929847,0.0017421352839149
54,15,Cerebellum,Glu,5,0.6,7.183732454779245,0.5071204650729504,0.0051168172814993
55,16,Cerebellum,Glu,5,0.6,5.73507849451679e-06,0.1580546235293298,0.0193495628587978
56,17,Cerebellum,Glu,5,0.6,13.580910092914474,2.997602166487923e-15,0.0088980205184923
57,18,Cerebellum,Glu,5,0.6,5.151822768223632,0.4220115265494267,0.0132402256163136
58,1,Thalamus,Glu,5,0.6,6.7151091017642015,0.4066551669112063,0.0015135640388756
59,2,Thalamus,Glu,5,0.6,9.797788807023656,0.2668164302483606,0.003541389986226
60,4,Thalamus,Glu,5,0.6,7.587938826244471,0.3955422915803046,0.0058807432523684
61,5,Thalamus,Glu,5,0.6,6.574510396055089,0.362859227825386,0.0031586314410979
62,6,Thalamus,Glu,5,0.6,6.442577308829116,0.3772215190234902,0.0026849699751978
63,7,Thalamus,Glu,5,0.6,6.971424356825547,0.1406366138829322,0.0065779047632964
64,8,Thalamus,Glu,5,0.6,6.010376229361324,0.230583249022592,0.0017457371512261
65,9,Thalamus,Glu,5,0.6,6.2426243682581095,0.2186109136626714,0.001305024147636
66,11,Cerebellum,Ins,5,0.6,5.364672339872994,0.8424052676867595,0.0054884478585833
67,12,Cerebellum,Ins,5,0.6,6.350939140219267,0.997738485754054,0.0044651436581989
68,13,Cerebellum,Ins,5,0.6,8.786262506372738,0.999999999986338,0.0173580652410871
69,14,Cerebellum,Ins,5,0.6,6.778010424095646,0.7530983827873079,0.0096573356539216
70,17,Cerebellum,Ins,5,0.6,19.999999984815133,0.4448957473757183,0.0121716876622652
71,6,Thalamus,Ins,5,0.6,8.546431747300252,0.7165620022806165,0.0088449525808219
72,7,Thalamus,Ins,5,0.6,8.093912508040036,0.5957635884133129,0.0051383821136025
73,8,Thalamus,Ins,5,0.6,6.6462739321596205,0.9999999999858517,0.1267662974028258
74,9,Thalamus,Ins,5,0.6,8.647742032364455,0.9999999998224548,0.0812937946013433
75,10,Cerebellum,Tau,5,0.6,8.013412961262924,0.3086226434983491,0.0009717060969211
76,11,Cerebellum,Tau,5,0.6,6.628127850851227,0.4930032626263798,0.0022194430508246
77,12,Cerebellum,Tau,5,0.6,7.312096896228129,0.3384475540625445,0.0003468170633292
78,13,Cerebellum,Tau,5,0.6,10.616052611459136,0.9999999997214226,0.0097936517782492
79,14,Cerebellum,Tau,5,0.6,8.88991633370745,0.2969730675731137,0.0012829810042067
80,15,Cerebellum,Tau,5,0.6,7.475667105102617,0.3992937772667171,0.0036564093513704
81,17,Cerebellum,Tau,5,0.6,19.999999999666805,0.2129286144719022,0.0165705763797591
82,18,Cerebellum,Tau,5,0.6,10.736852916708758,0.1756182135761614,0.0020378280042393
83,1,Thalamus,Tau,5,0.6,7.670210223772962,0.1836439839042297,0.0002049336429917
84,2,Thalamus,Tau,5,0.6,8.818402010650919,0.2300306465851147,0.0002466359524238
85,4,Thalamus,Tau,5,0.6,9.73117252628892,0.2110964795425856,0.0016112451984537
86,5,Thalamus,Tau,5,0.6,10.688494115328153,0.1208441693513094,0.0009330032901679
87,6,Thalamus,Tau,5,0.6,8.699323777996298,0.1591709567266666,0.0005620291725619
88,8,Thalamus,Tau,5,0.6,9.082294589781656,0.1686503597229133,0.0004386119468521
89,9,Thalamus,Tau,5,0.6,9.320858810510892,0.1988016510286175,0.0002131536128953
90,10,Cerebellum,NAA+NAAG,10,0.6,4.172624011250382,0.2359029159624084,0.0037762254158964
91,12,Cerebellum,NAA+NAAG,10,0.6,6.874975906028933,0.5524858730169491,0.0063549572652974
92,13,Cerebellum,NAA+NAAG,10,0.6,5.849186566717182,0.4954539936218105,0.0012289016235743
93,14,Cerebellum,NAA+NAAG,10,0.6,5.073481541520801,0.8346336156499269,0.0132196186610956
94,15,Cerebellum,NAA+NAAG,10,0.6,4.259691652226425,0.3572908534602213,0.0022874162252316
95,16,Cerebellum,NAA+NAAG,10,0.6,4.488457932986937,0.4014450034428651,0.0044783210659864
96,17,Cerebellum,NAA+NAAG,10,0.6,5.557171246697588,0.641849766081642,0.0031632225338718
97,18,Cerebellum,NAA+NAAG,10,0.6,5.07792827198652,0.5418831356023959,0.0018717124810577
98,1,Thalamus,NAA+NAAG,10,0.6,4.965000840515149,0.3321176238976867,0.0003714147993721
99,2,Thalamus,NAA+NAAG,10,0.6,6.199157502992354,0.3824461333789263,0.0007913537159008
100,3,Thalamus,NAA+NAAG,10,0.6,5.171477591814824,0.4114266704386624,0.0006220560382633
101,4,Thalamus,NAA+NAAG,10,0.6,4.770115500132524,0.2684919470029553,0.0001741800143531
102,5,Thalamus,NAA+NAAG,10,0.6,5.217973049453727,0.4338947216683893,0.0007540453294317
103,6,Thalamus,NAA+NAAG,10,0.6,4.535419958683999,0.3188781273619001,0.0003029396448628
104,7,Thalamus,NAA+NAAG,10,0.6,5.151033817574239,0.2270699683737649,0.0006565965913982
105,8,Thalamus,NAA+NAAG,10,0.6,5.945362162065728,0.2779245079374679,0.0011220573116163
106,9,Thalamus,NAA+NAAG,10,0.6,5.251770250962901,0.2939355957387569,0.0005965579891766
107,10,Cerebellum,Cr+PCr,10,0.6,6.20743923380693,0.63114036340825,0.0023660762209833
108,12,Cerebellum,Cr+PCr,10,0.6,5.520404366857582,0.665725445860023,0.0004489368602722
109,13,Cerebellum,Cr+PCr,10,0.6,5.8921554625190415,0.6344941302624643,0.0010016072550774
110,14,Cerebellum,Cr+PCr,10,0.6,4.619493644009541,0.6938962781841684,0.00391640399728
111,15,Cerebellum,Cr+PCr,10,0.6,5.109807864804561,0.5727769060809987,0.0003899730896981
112,16,Cerebellum,Cr+PCr,10,0.6,5.683319610281696,0.743893215526179,0.0019093427836758
113,17,Cerebellum,Cr+PCr,10,0.6,5.504276085652696,0.6993436667255496,0.0025609439701761
114,18,Cerebellum,Cr+PCr,10,0.6,6.077304646624749,0.7627437278424578,0.0029868755872092
115,1,Thalamus,Cr+PCr,10,0.6,6.280839054376268,0.4487760771374952,0.0004992509143966
116,2,Thalamus,Cr+PCr,10,0.6,6.167607937507095,0.538836219410294,0.0006625951572124
117,3,Thalamus,Cr+PCr,10,0.6,5.873192284848114,0.4781507416750115,0.0005595693883164
118,4,Thalamus,Cr+PCr,10,0.6,7.05911411749001,0.4317326896357615,0.0001578490371409
119,5,Thalamus,Cr+PCr,10,0.6,6.295470970795572,0.3578645241110162,0.0001109838905043
120,6,Thalamus,Cr+PCr,10,0.6,6.105118857181169,0.4077727498121632,0.0008035916719715
121,7,Thalamus,Cr+PCr,10,0.6,6.130493357024683,0.3304654513534728,0.0001298905587492
122,8,Thalamus,Cr+PCr,10,0.6,7.211336829248692,0.4659915838402836,0.0027120098586402
123,9,Thalamus,Cr+PCr,10,0.6,6.324370929631387,0.4049586299846929,0.0003716500881546
124,10,Cerebellum,GPC+PCho+Cho,10,0.6,5.216005366413631,0.995209183216081,0.0043049605211123
125,12,Cerebellum,GPC+PCho+Cho,10,0.6,5.9620905018658,0.7158138187526026,0.0021019549822488
126,13,Cerebellum,GPC+PCho+Cho,10,0.6,3.610415743229479,0.9999999997568584,0.0352801574380129
127,14,Cerebellum,GPC+PCho+Cho,10,0.6,3.131216977420095,0.9999999999122466,0.0432989778979708
