,PupsID,Region,Metabolite,Age,ADC,SphereRadius,SphereFraction,MSE
0,10,Cerebellum,NAA+NAAG,5,0.7,6.127631681221301,0.4725673209279986,0.0049597085692597
1,11,Cerebellum,NAA+NAAG,5,0.7,6.857756789417454,0.6194652670400601,0.0046140878997772
2,12,Cerebellum,NAA+NAAG,5,0.7,5.588547141704044,0.4980217439729814,0.0014118693660249
3,13,Cerebellum,NAA+NAAG,5,0.7,8.584032138599321,0.9999999997848176,0.008681903697542
4,14,Cerebellum,NAA+NAAG,5,0.7,6.168411630031296,0.4510245014238376,0.0274891288048357
5,15,Cerebellum,NAA+NAAG,5,0.7,6.251971466128032,0.6419812100919109,0.0054673700422216
6,17,Cerebellum,NAA+NAAG,5,0.7,4.084134238135374,0.0910120578301147,0.0247529220598453
7,18,Cerebellum,NAA+NAAG,5,0.7,13.239595595962577,3.941291737419306e-15,0.0074806975026008
8,1,Thalamus,NAA+NAAG,5,0.7,5.99464583628551,0.42998799972625,0.0026952329853767
9,2,Thalamus,NAA+NAAG,5,0.7,5.229169716209934,0.4987441175240494,0.0035628329360345
10,4,Thalamus,NAA+NAAG,5,0.7,6.496254182197342,0.999999999489319,0.0322217408204916
11,5,Thalamus,NAA+NAAG,5,0.7,5.1249014376129285,0.7201499843727659,0.0286744042524799
12,6,Thalamus,NAA+NAAG,5,0.7,5.502399893583758,0.2340926753637149,0.0046581087284759
13,7,Thalamus,NAA+NAAG,5,0.7,5.775186575433208,0.7095566465338371,0.0139367243333126
14,8,Thalamus,NAA+NAAG,5,0.7,5.463205960577456,0.5278799326285837,0.0046561688081601
15,9,Thalamus,NAA+NAAG,5,0.7,4.05394499629122,0.3030924722125204,0.0065160091902313
16,10,Cerebellum,Cr+PCr,5,0.7,6.18573902020687,0.842556472009185,0.0016741563096893
17,11,Cerebellum,Cr+PCr,5,0.7,6.218828485670272,0.7638528151650877,0.0041466753766785
18,12,Cerebellum,Cr+PCr,5,0.7,6.01522607891836,0.608048213918251,0.0011273751007349
19,13,Cerebellum,Cr+PCr,5,0.7,9.13638072081161,0.99999999987013,0.0073295245654823
20,14,Cerebellum,Cr+PCr,5,0.7,6.828185524087397,0.6330757596708555,0.0019933824687491
21,15,Cerebellum,Cr+PCr,5,0.7,6.657601122599487,0.5815012176562261,0.0030051357430148
22,17,Cerebellum,Cr+PCr,5,0.7,13.578190469360363,1.6653345369377348e-16,0.011761537655041
23,18,Cerebellum,Cr+PCr,5,0.7,6.250044799128752,0.1925798481274248,0.0059433222243643
24,1,Thalamus,Cr+PCr,5,0.7,6.206185421944055,0.5344942296024457,0.0021246402325878
25,2,Thalamus,Cr+PCr,5,0.7,6.060843531175807,0.5037932239272898,0.0027000541305957
26,4,Thalamus,Cr+PCr,5,0.7,7.253748787291736,0.6127502383640967,0.0035871885530344
27,5,Thalamus,Cr+PCr,5,0.7,6.6657687829589465,0.3337957370064039,0.0061117787821857
28,6,Thalamus,Cr+PCr,5,0.7,6.71535869985264,0.448189655337433,0.0011987119295311
29,7,Thalamus,Cr+PCr,5,0.7,6.851705467686427,0.4928680456696016,0.0071845570159312
