,PupsID,Region,Metabolite,Age,ADC,SphereRadius,SphereFraction,MSE
0,10,Cerebellum,NAA+NAAG,5,0.4,7.861580221817904,0.2770252915399914,0.0054894926231568
1,11,Cerebellum,NAA+NAAG,5,0.4,7.930813960472522,0.4764223309014846,0.0043240233482049
2,12,Cerebellum,NAA+NAAG,5,0.4,6.692176778870406,0.2816666947295252,0.0015068327160461
3,13,Cerebellum,NAA+NAAG,5,0.4,8.842059050243229,0.9999999999946174,0.0088348766526296
4,14,Cerebellum,NAA+NAAG,5,0.4,9.414909356576192,0.2613638172268553,0.0271360031776526
5,15,Cerebellum,NAA+NAAG,5,0.4,6.801194861789406,0.5096178780241395,0.00593440647584
6,17,Cerebellum,NAA+NAAG,5,0.4,19.999999999999897,0.0932848646174236,0.0307688023149963
7,18,Cerebellum,NAA+NAAG,5,0.4,19.99999999977728,0.3498451204498874,0.0169557879267188
8,1,Thalamus,NAA+NAAG,5,0.4,9.238402151364664,0.225430205983973,0.0029991413734207
9,2,Thalamus,NAA+NAAG,5,0.4,5.621704099715721,0.2489422333512706,0.0031653296405806
10,4,Thalamus,NAA+NAAG,5,0.4,6.376123956522616,0.9999999997194088,0.0322810008189485
11,5,Thalamus,NAA+NAAG,5,0.4,5.140481994855243,0.606947534631485,0.0289889044027464
12,6,Thalamus,NAA+NAAG,5,0.4,19.999999998326132,0.217656107170834,0.0045630165761704
13,7,Thalamus,NAA+NAAG,5,0.4,5.966428051257655,0.5920903188450467,0.0142313497539711
14,8,Thalamus,NAA+NAAG,5,0.4,6.219697831791926,0.3178662279772605,0.0045884997769476
15,9,Thalamus,NAA+NAAG,5,0.4,0.0001941482080454,0.0166800199271384,0.0064866942893214
16,10,Cerebellum,Cr+PCr,5,0.4,6.252201631247531,0.7808839477877794,0.0017380086111191
17,11,Cerebellum,Cr+PCr,5,0.4,6.411979054305519,0.6465426210325705,0.0038793239691359
18,12,Cerebellum,Cr+PCr,5,0.4,6.689631168798051,0.4367178204949732,0.0009939948567325
19,13,Cerebellum,Cr+PCr,5,0.4,9.611256715438268,0.9999999993571976,0.0074395993066739
20,14,Cerebellum,Cr+PCr,5,0.4,8.033428891610964,0.5163560874124873,0.002304401848761
21,15,Cerebellum,Cr+PCr,5,0.4,7.669718060409969,0.444618317477441,0.0035748684270881
22,17,Cerebellum,Cr+PCr,5,0.4,19.99999999674707,0.3579935221370922,0.0234497829189062
23,18,Cerebellum,Cr+PCr,5,0.4,19.99999999716818,0.2032290545644064,0.0088893841891521
24,1,Thalamus,Cr+PCr,5,0.4,7.615365156824755,0.3484418674445028,0.0020331198862555
25,2,Thalamus,Cr+PCr,5,0.4,7.564687464268683,0.3095239705595335,0.0029373352330417
26,4,Thalamus,Cr+PCr,5,0.4,9.076345136981216,0.4956768903305769,0.0035222092819703
27,5,Thalamus,Cr+PCr,5,0.4,19.99999999569085,0.2389397877743303,0.0056944494120859
28,6,Thalamus,Cr+PCr,5,0.4,9.946598290375343,0.2842785664090472,0.001245500190584
29,7,Thalamus,Cr+PCr,5,0.4,8.284094528258157,0.3747467140462407,0.0090726425377502
30,8,Thalamus,Cr+PCr,5,0.4,8.656455649678536,0.2195866889879501,0.0014493197940112
31,9,Thalamus,Cr+PCr,5,0.4,11.481094911746272,0.1776330111085004,0.0018166239390337
