PupId,Region,Age,Metabolite,MixTime,ADC,ADCcorr
10,Cerebellum,5,Cr+PCr,100,0.0745076619870483,0.0745076619870483
10,Cerebellum,5,Cr+PCr,500,0.0417661719688989,0.0417661719688989
10,Cerebellum,5,Cr+PCr,750,-0.00138600338288789,0
10,Cerebellum,5,Cr+PCr,1000,0.052232817302019,0.052232817302019
2,Thalamus,5,Cr+PCr,100,0.113540708874734,0.113540708874734
2,Thalamus,5,Cr+PCr,500,0.111496910009451,0.111496910009451
2,Thalamus,5,Cr+PCr,750,0.116666945617013,0.116666945617013
2,Thalamus,5,Cr+PCr,1000,0.0310883964388657,0.0310883964388657
11,Cerebellum,5,Cr+PCr,100,0.056781788582413,0.056781788582413
11,Cerebellum,5,Cr+PCr,500,0.0637091124717505,0.0637091124717505
11,Cerebellum,5,Cr+PCr,750,0.0787008986522383,0.0787008986522383
11,Cerebellum,5,Cr+PCr,1000,0.0308505191217484,0.0308505191217484
3,Thalamus,5,Cr+PCr,100,0,0
3,Thalamus,5,Cr+PCr,500,0,0
3,Thalamus,5,Cr+PCr,750,0,0
3,Thalamus,5,Cr+PCr,1000,0,0
12,Cerebellum,5,Cr+PCr,100,0.0852591753110119,0.0852591753110119
12,Cerebellum,5,Cr+PCr,500,0.081856862367218,0.081856862367218
12,Cerebellum,5,Cr+PCr,750,0.0828204530994999,0.0828204530994999
12,Cerebellum,5,Cr+PCr,1000,0.0385355023106215,0.0385355023106215
4,Thalamus,5,Cr+PCr,100,0.131065005172117,0.131065005172117
4,Thalamus,5,Cr+PCr,500,0.124033138088121,0.124033138088121
4,Thalamus,5,Cr+PCr,750,0.0596827438163285,0.0596827438163285
4,Thalamus,5,Cr+PCr,1000,0.0207211067937633,0.0207211067937633
13,Cerebellum,5,Cr+PCr,100,0.135466126430388,0
13,Cerebellum,5,Cr+PCr,500,0.0588939874172462,0
13,Cerebellum,5,Cr+PCr,750,0.00342322221248539,0
13,Cerebellum,5,Cr+PCr,1000,-0.0266413917021916,0
5,Thalamus,5,Cr+PCr,100,0.144001554447592,0.144001554447592
5,Thalamus,5,Cr+PCr,500,0.222320800521626,0
5,Thalamus,5,Cr+PCr,750,0.088155945041671,0.088155945041671
5,Thalamus,5,Cr+PCr,1000,0.059794899040215,0.059794899040215
14,Cerebellum,5,Cr+PCr,100,0.168185336917465,0.168185336917465
14,Cerebellum,5,Cr+PCr,500,0.0609175613995929,0.0609175613995929
14,Cerebellum,5,Cr+PCr,750,0.0536836719682997,0.0536836719682997
14,Cerebellum,5,Cr+PCr,1000,0.0503264437375844,0.0503264437375844
6,Thalamus,5,Cr+PCr,100,0.0994320912311848,0.0994320912311848
6,Thalamus,5,Cr+PCr,500,0.0887618111527444,0.0887618111527444
6,Thalamus,5,Cr+PCr,750,0.108872678835307,0.108872678835307
6,Thalamus,5,Cr+PCr,1000,0.0939755536270534,0.0939755536270534
15,Cerebellum,5,Cr+PCr,100,0.0672286413252486,0.0672286413252486
15,Cerebellum,5,Cr+PCr,500,0.0893031883946388,0.0893031883946388
15,Cerebellum,5,Cr+PCr,750,0.0626335937892024,0.0626335937892024
15,Cerebellum,5,Cr+PCr,1000,0.103232734338719,0.103232734338719
7,Thalamus,5,Cr+PCr,100,0.0852207537390031,0.0852207537390031
7,Thalamus,5,Cr+PCr,500,0.0878615069575735,0.0878615069575735
7,Thalamus,5,Cr+PCr,750,0.11355503829375,0.11355503829375
7,Thalamus,5,Cr+PCr,1000,0.129599351874318,0.129599351874318
16,Cerebellum,5,Cr+PCr,100,0.234801445028193,0
16,Cerebellum,5,Cr+PCr,500,0.171563039530345,0
16,Cerebellum,5,Cr+PCr,750,0.193637928538119,0
16,Cerebellum,5,Cr+PCr,1000,0.142686845885937,0.142686845885937
8,Thalamus,5,Cr+PCr,100,0.103021330256232,0.103021330256232
8,Thalamus,5,Cr+PCr,500,0.106041032651005,0.106041032651005
8,Thalamus,5,Cr+PCr,750,0.0656836376800502,0.0656836376800502
8,Thalamus,5,Cr+PCr,1000,0.115311486204646,0.115311486204646
17,Cerebellum,5,Cr+PCr,100,0.310035959142432,0
17,Cerebellum,5,Cr+PCr,500,0.25103284589687,0
17,Cerebellum,5,Cr+PCr,750,0.220014060674629,0
17,Cerebellum,5,Cr+PCr,1000,0.225858002365658,0
9,Thalamus,5,Cr+PCr,100,0.137802653874034,0.137802653874034
9,Thalamus,5,Cr+PCr,500,0.0943367196970127,0.0943367196970127
9,Thalamus,5,Cr+PCr,750,0.0708874246155423,0.0708874246155423
9,Thalamus,5,Cr+PCr,1000,0.136284597717894,0.136284597717894
18,Cerebellum,5,Cr+PCr,100,0.156363601329459,0.156363601329459
18,Cerebellum,5,Cr+PCr,500,0.141356765313066,0.141356765313066
18,Cerebellum,5,Cr+PCr,750,0.207044337172073,0
18,Cerebellum,5,Cr+PCr,1000,0.126883312996147,0.126883312996147
1,Thalamus,5,GPC+PCho+Cho,100,0.0822866926438419,0.0822866926438419
1,Thalamus,5,GPC+PCho+Cho,500,0.0496579305492415,0.0496579305492415
1,Thalamus,5,GPC+PCho+Cho,750,0.0962469446000077,0.0962469446000077
1,Thalamus,5,GPC+PCho+Cho,1000,-3.34126945594833,0
10,Cerebellum,5,GPC+PCho+Cho,100,0.0792576204433896,0.0792576204433896
10,Cerebellum,5,GPC+PCho+Cho,500,0.0717423310787862,0.0717423310787862
10,Cerebellum,5,GPC+PCho+Cho,750,0.00104329766964257,0
10,Cerebellum,5,GPC+PCho+Cho,1000,-0.0236505786574281,0
